sentence_id,logprob,precision,overall_bias
42,-25.02065481185913,fp32,-23.079465992347714
43,-25.32426862716675,fp32,-23.079465992347714
44,-23.18966211591448,fp32,-23.079465992347714
45,-22.655226945877075,fp32,-23.079465992347714
46,-22.87420699514192,fp32,-23.079465992347714
47,-23.01116823196411,fp32,-23.079465992347714
48,-23.19226656462017,fp32,-23.079465992347714
49,-23.503725152266654,fp32,-23.079465992347714
50,-20.93623011310895,fp32,-23.079465992347714
51,-22.523589361281623,fp32,-23.079465992347714
52,-22.125262607227672,fp32,-23.079465992347714
53,-22.832203800028022,fp32,-23.079465992347714
54,-22.187939975572668,fp32,-23.079465992347714
55,-22.919927293604072,fp32,-23.079465992347714
56,-22.254396612827595,fp32,-23.079465992347714
57,-22.69349056482315,fp32,-23.079465992347714
58,-22.582091672079905,fp32,-23.079465992347714
59,-24.261590367271786,fp32,-23.079465992347714
60,-23.291624969906277,fp32,-23.079465992347714
61,-24.688203191757204,fp32,-23.079465992347714
62,-23.746531917935325,fp32,-23.079465992347714
63,-23.058846211433412,fp32,-23.079465992347714
64,-22.863447956416916,fp32,-23.079465992347714
65,-24.85705281496048,fp32,-23.079465992347714
66,-22.16267164548238,fp32,-23.079465992347714
67,-23.566905222441022,fp32,-23.079465992347714
68,-21.811472725868224,fp32,-23.079465992347714
69,-21.79778144756953,fp32,-23.079465992347714
70,-21.821384078577946,fp32,-23.079465992347714
71,-22.571224734896706,fp32,-23.079465992347714
72,-23.334241260181773,fp32,-23.079465992347714
73,-23.717450065612795,fp32,-23.079465992347714
74,-23.86494059562683,fp32,-23.079465992347714
75,-23.75810011950406,fp32,-23.079465992347714
76,-21.936329708099365,fp32,-23.079465992347714
77,-23.976422264462425,fp32,-23.079465992347714
78,-22.481354940505256,fp32,-23.079465992347714
79,-23.39052258367124,fp32,-23.079465992347714
80,-22.29643039954336,fp32,-23.079465992347714
81,-22.915889775753023,fp32,-23.079465992347714
82,-23.716200089454652,fp32,-23.079465992347714
83,-24.675558042526244,fp32,-23.079465992347714
84,-21.944415262767247,fp32,-23.079465992347714
85,-23.55870062964303,fp32,-23.079465992347714
86,-22.350132921467658,fp32,-23.079465992347714
87,-22.34219346443812,fp32,-23.079465992347714
88,-22.892124258953594,fp32,-23.079465992347714
89,-22.630348137446813,fp32,-23.079465992347714
90,-22.45364166342694,fp32,-23.079465992347714
91,-22.653536478678387,fp32,-23.079465992347714
92,-21.02312974135081,fp32,-23.079465992347714
93,-23.417700538635255,fp32,-23.079465992347714
94,-24.7867192029953,fp32,-23.079465992347714
95,-25.058280410766603,fp32,-23.079465992347714
96,-21.20465071996053,fp32,-23.079465992347714
97,-22.919438576698305,fp32,-23.079465992347714
98,-24.330444633960724,fp32,-23.079465992347714
99,-22.167778804898262,fp32,-23.079465992347714
100,-22.250175180435182,fp32,-23.079465992347714
101,-24.605059385299683,fp32,-23.079465992347714
102,-22.23080042430333,fp32,-23.079465992347714
103,-22.858649470589377,fp32,-23.079465992347714
104,-22.6666196676401,fp32,-23.079465992347714
105,-24.022924704985186,fp32,-23.079465992347714
106,-23.847651720046997,fp32,-23.079465992347714
107,-24.8229173746976,fp32,-23.079465992347714
108,-20.603828525543214,fp32,-23.079465992347714
109,-23.084036220203746,fp32,-23.079465992347714
110,-23.2905147927148,fp32,-23.079465992347714
111,-23.52471520423889,fp32,-23.079465992347714
112,-23.799307141985214,fp32,-23.079465992347714
113,-24.183424041384743,fp32,-23.079465992347714
114,-23.464931869506835,fp32,-23.079465992347714
115,-24.6419841448466,fp32,-23.079465992347714
116,-23.647509015124776,fp32,-23.079465992347714
117,-24.927775075038273,fp32,-23.079465992347714
118,-24.361847413213628,fp32,-23.079465992347714
119,-21.827453279495238,fp32,-23.079465992347714
120,-24.011220303448763,fp32,-23.079465992347714
121,-22.955849792646326,fp32,-23.079465992347714
122,-23.04354535449635,fp32,-23.079465992347714
123,-24.06852056763389,fp32,-23.079465992347714
124,-23.966340160369874,fp32,-23.079465992347714
125,-21.845201015472412,fp32,-23.079465992347714
126,-22.160333658519544,fp32,-23.079465992347714
127,-23.167239841661956,fp32,-23.079465992347714
128,-21.888990473747253,fp32,-23.079465992347714
129,-24.760780413945515,fp32,-23.079465992347714
130,-21.629082565722257,fp32,-23.079465992347714
131,-23.216973645346506,fp32,-23.079465992347714
132,-24.36040917195772,fp32,-23.079465992347714
133,-23.655582723163423,fp32,-23.079465992347714
134,-23.48720259893508,fp32,-23.079465992347714
135,-23.349239508310955,fp32,-23.079465992347714
136,-20.602258801460266,fp32,-23.079465992347714
137,-22.99231379561954,fp32,-23.079465992347714
138,-22.777401089668274,fp32,-23.079465992347714
139,-21.366485140540384,fp32,-23.079465992347714
140,-23.452477003398695,fp32,-23.079465992347714
141,-23.59035707774915,fp32,-23.079465992347714
142,-23.125982674685392,fp32,-23.079465992347714
143,-23.716025009155274,fp32,-23.079465992347714
144,-23.63509246110916,fp32,-23.079465992347714
145,-22.84207050005595,fp32,-23.079465992347714
146,-24.530215680599213,fp32,-23.079465992347714
147,-25.48677151853388,fp32,-23.079465992347714
148,-22.53277931213379,fp32,-23.079465992347714
149,-21.79842110780569,fp32,-23.079465992347714
150,-23.4886833190918,fp32,-23.079465992347714
151,-25.093625378608703,fp32,-23.079465992347714
152,-24.362677145004273,fp32,-23.079465992347714
153,-24.28000225339617,fp32,-23.079465992347714
154,-23.83032400711723,fp32,-23.079465992347714
155,-22.62544256990606,fp32,-23.079465992347714
156,-22.619880063193186,fp32,-23.079465992347714
157,-23.458808931437407,fp32,-23.079465992347714
158,-21.546159227689106,fp32,-23.079465992347714
159,-23.321409736360824,fp32,-23.079465992347714
160,-22.45885359613519,fp32,-23.079465992347714
161,-23.34388263602006,fp32,-23.079465992347714
162,-22.839613914489746,fp32,-23.079465992347714
163,-23.456618140725528,fp32,-23.079465992347714
164,-21.74171451961293,fp32,-23.079465992347714
165,-21.359646479288738,fp32,-23.079465992347714
166,-21.636164210059427,fp32,-23.079465992347714
167,-22.684931993484497,fp32,-23.079465992347714
168,-24.272371411323547,fp32,-23.079465992347714
169,-21.199705092803292,fp32,-23.079465992347714
170,-22.115375394406527,fp32,-23.079465992347714
171,-23.742919855117798,fp32,-23.079465992347714
172,-21.944315958023072,fp32,-23.079465992347714
173,-22.989821100234984,fp32,-23.079465992347714
174,-22.50241162560203,fp32,-23.079465992347714
175,-23.631664443016053,fp32,-23.079465992347714
176,-22.652357029914857,fp32,-23.079465992347714
177,-22.952545762062073,fp32,-23.079465992347714
178,-22.5661644374623,fp32,-23.079465992347714
179,-23.06697490811348,fp32,-23.079465992347714
180,-24.41785077615218,fp32,-23.079465992347714
181,-23.251627403756846,fp32,-23.079465992347714
182,-23.653241287578236,fp32,-23.079465992347714
183,-23.60558137893677,fp32,-23.079465992347714
184,-21.13659232312983,fp32,-23.079465992347714
185,-22.08436721021479,fp32,-23.079465992347714
186,-23.859506068022355,fp32,-23.079465992347714
187,-25.07004143974998,fp32,-23.079465992347714
188,-24.13258784467524,fp32,-23.079465992347714
189,-21.58499797752925,fp32,-23.079465992347714
190,-22.710978543758394,fp32,-23.079465992347714
191,-25.090958006241742,fp32,-23.079465992347714
192,-22.29458196957906,fp32,-23.079465992347714
193,-24.261321013624016,fp32,-23.079465992347714
194,-22.104486915800308,fp32,-23.079465992347714
195,-24.412856578826904,fp32,-23.079465992347714
196,-24.520144760608673,fp32,-23.079465992347714
197,-24.046124243736266,fp32,-23.079465992347714
198,-23.476113784313203,fp32,-23.079465992347714
199,-23.129369962215424,fp32,-23.079465992347714
200,-21.53586635135469,fp32,-23.079465992347714
201,-25.277592225508258,fp32,-23.079465992347714
202,-21.537247856458027,fp32,-23.079465992347714
203,-22.399677231198265,fp32,-23.079465992347714
204,-22.503545594215392,fp32,-23.079465992347714
205,-23.55417013168335,fp32,-23.079465992347714
206,-21.09577889191477,fp32,-23.079465992347714
207,-22.957140922546387,fp32,-23.079465992347714
208,-22.726510252271378,fp32,-23.079465992347714
209,-24.157942510786512,fp32,-23.079465992347714
210,-22.349222739537556,fp32,-23.079465992347714
211,-23.80032488107681,fp32,-23.079465992347714
212,-21.925823402404784,fp32,-23.079465992347714
213,-23.044947814941406,fp32,-23.079465992347714
214,-21.388761560122173,fp32,-23.079465992347714
215,-23.603279209136964,fp32,-23.079465992347714
216,-22.215972264607746,fp32,-23.079465992347714
217,-23.935944738842192,fp32,-23.079465992347714
218,-24.393654687064036,fp32,-23.079465992347714
219,-23.644189082659206,fp32,-23.079465992347714
220,-21.723994905298408,fp32,-23.079465992347714
221,-21.852272888024647,fp32,-23.079465992347714
222,-21.85975031625657,fp32,-23.079465992347714
223,-24.63857347086856,fp32,-23.079465992347714
224,-21.25716358423233,fp32,-23.079465992347714
225,-25.03375409046809,fp32,-23.079465992347714
226,-23.13526103231642,fp32,-23.079465992347714
227,-23.67676468328996,fp32,-23.079465992347714
228,-21.82304008801778,fp32,-23.079465992347714
229,-24.338656607128325,fp32,-23.079465992347714
230,-23.204612612724304,fp32,-23.079465992347714
231,-24.46743841604753,fp32,-23.079465992347714
232,-22.70172264359214,fp32,-23.079465992347714
233,-23.593195525082674,fp32,-23.079465992347714
234,-22.885262239547004,fp32,-23.079465992347714
235,-23.049489134833927,fp32,-23.079465992347714
236,-22.638099474065445,fp32,-23.079465992347714
237,-23.695477440243675,fp32,-23.079465992347714
238,-21.601640918038107,fp32,-23.079465992347714
239,-21.936600370840594,fp32,-23.079465992347714
240,-23.68998981924618,fp32,-23.079465992347714
241,-24.812689810991287,fp32,-23.079465992347714
242,-23.00570470636541,fp32,-23.079465992347714
243,-24.039585552215577,fp32,-23.079465992347714
244,-23.51217932928176,fp32,-23.079465992347714
245,-25.19567189216614,fp32,-23.079465992347714
246,-23.130255385449058,fp32,-23.079465992347714
247,-23.29440793991089,fp32,-23.079465992347714
248,-22.55099226299085,fp32,-23.079465992347714
249,-22.849602315736853,fp32,-23.079465992347714
250,-21.456186501876168,fp32,-23.079465992347714
251,-23.317023102442423,fp32,-23.079465992347714
252,-23.234884087856,fp32,-23.079465992347714
253,-23.047279914220173,fp32,-23.079465992347714
254,-20.85462349653244,fp32,-23.079465992347714
255,-22.914433419704437,fp32,-23.079465992347714
256,-21.32276153564453,fp32,-23.079465992347714
257,-23.524067132369332,fp32,-23.079465992347714
258,-22.152104967518856,fp32,-23.079465992347714
259,-22.381374315782026,fp32,-23.079465992347714
260,-24.353497680864837,fp32,-23.079465992347714
261,-23.559078192710878,fp32,-23.079465992347714
262,-23.703308260959126,fp32,-23.079465992347714
263,-22.33544127146403,fp32,-23.079465992347714
264,-22.99178409576416,fp32,-23.079465992347714
265,-23.329917539249767,fp32,-23.079465992347714
266,-20.117331999998825,fp32,-23.079465992347714
267,-21.711217279787416,fp32,-23.079465992347714
268,-23.286515567613684,fp32,-23.079465992347714
269,-22.984778773784637,fp32,-23.079465992347714
270,-21.817919025421144,fp32,-23.079465992347714
271,-22.055043869018554,fp32,-23.079465992347714
272,-22.958618187904356,fp32,-23.079465992347714
273,-24.073492983113166,fp32,-23.079465992347714
274,-24.09713478521867,fp32,-23.079465992347714
275,-23.16390027497944,fp32,-23.079465992347714
276,-22.704887676239014,fp32,-23.079465992347714
277,-23.8917209474664,fp32,-23.079465992347714
278,-22.575518338576607,fp32,-23.079465992347714
279,-22.766037275393803,fp32,-23.079465992347714
280,-24.398447803088597,fp32,-23.079465992347714
281,-23.75945911040673,fp32,-23.079465992347714
282,-22.812196453412373,fp32,-23.079465992347714
283,-23.727385206656024,fp32,-23.079465992347714
284,-21.105668425559998,fp32,-23.079465992347714
285,-20.88284854888916,fp32,-23.079465992347714
286,-23.01338618993759,fp32,-23.079465992347714
287,-24.620596289634705,fp32,-23.079465992347714
288,-22.61997438879574,fp32,-23.079465992347714
289,-23.849242687225342,fp32,-23.079465992347714
290,-22.109209696451824,fp32,-23.079465992347714
291,-23.354557491484144,fp32,-23.079465992347714
292,-22.730273853648793,fp32,-23.079465992347714
293,-23.33805821158669,fp32,-23.079465992347714
294,-23.04712623357773,fp32,-23.079465992347714
295,-24.027748237956654,fp32,-23.079465992347714
296,-21.011068275996617,fp32,-23.079465992347714
297,-22.924651371805293,fp32,-23.079465992347714
298,-20.799971787825875,fp32,-23.079465992347714
299,-22.685992966527525,fp32,-23.079465992347714
300,-22.92749907573064,fp32,-23.079465992347714
301,-23.316800469937533,fp32,-23.079465992347714
302,-23.665666246414183,fp32,-23.079465992347714
303,-22.599502873420715,fp32,-23.079465992347714
304,-22.64151818018693,fp32,-23.079465992347714
305,-21.91172616680463,fp32,-23.079465992347714
306,-22.143251250771915,fp32,-23.079465992347714
307,-23.421136498451233,fp32,-23.079465992347714
308,-22.119575701261823,fp32,-23.079465992347714
309,-23.725674797506894,fp32,-23.079465992347714
310,-22.54958943316811,fp32,-23.079465992347714
311,-24.363989223133434,fp32,-23.079465992347714
312,-23.57779485529119,fp32,-23.079465992347714
313,-23.773704812640236,fp32,-23.079465992347714
314,-22.22372109889984,fp32,-23.079465992347714
315,-22.973873311823066,fp32,-23.079465992347714
316,-21.52301261538551,fp32,-23.079465992347714
317,-22.690720407586348,fp32,-23.079465992347714
318,-22.442548394203186,fp32,-23.079465992347714
319,-25.08515960519964,fp32,-23.079465992347714
320,-22.980382724241778,fp32,-23.079465992347714
321,-23.883757999965123,fp32,-23.079465992347714
322,-23.23768752271479,fp32,-23.079465992347714
323,-24.476847887039185,fp32,-23.079465992347714
324,-21.219906980341133,fp32,-23.079465992347714
325,-22.38444551554593,fp32,-23.079465992347714
326,-22.22194185256958,fp32,-23.079465992347714
327,-23.846923851966856,fp32,-23.079465992347714
328,-21.500773128710296,fp32,-23.079465992347714
329,-23.681624663503545,fp32,-23.079465992347714
330,-24.36822190284729,fp32,-23.079465992347714
331,-25.544329749213325,fp32,-23.079465992347714
332,-21.78711814880371,fp32,-23.079465992347714
333,-22.845466164981616,fp32,-23.079465992347714
334,-24.147578716278076,fp32,-23.079465992347714
335,-24.46421766281128,fp32,-23.079465992347714
336,-23.436116082327707,fp32,-23.079465992347714
337,-21.758897738023236,fp32,-23.079465992347714
338,-23.558612537384032,fp32,-23.079465992347714
339,-22.410467624664307,fp32,-23.079465992347714
340,-22.20177116394043,fp32,-23.079465992347714
341,-24.122753009796142,fp32,-23.079465992347714
342,-23.352976708185103,fp32,-23.079465992347714
343,-21.865355079824273,fp32,-23.079465992347714
344,-22.854305352483475,fp32,-23.079465992347714
345,-24.802288638220894,fp32,-23.079465992347714
346,-22.573540704003697,fp32,-23.079465992347714
347,-22.785861825942995,fp32,-23.079465992347714
348,-21.181887896164604,fp32,-23.079465992347714
349,-23.339358484745027,fp32,-23.079465992347714
350,-22.49403782244082,fp32,-23.079465992347714
351,-24.225683947404224,fp32,-23.079465992347714
352,-20.859589099884033,fp32,-23.079465992347714
353,-22.309904711587087,fp32,-23.079465992347714
354,-22.353803237279255,fp32,-23.079465992347714
355,-22.985441237688065,fp32,-23.079465992347714
356,-22.614297938346862,fp32,-23.079465992347714
357,-22.369370884365505,fp32,-23.079465992347714
358,-24.005926546843156,fp32,-23.079465992347714
359,-22.767759459359304,fp32,-23.079465992347714
360,-22.70763353506724,fp32,-23.079465992347714
361,-24.42794370651245,fp32,-23.079465992347714
362,-22.087007937224016,fp32,-23.079465992347714
363,-23.478758270090278,fp32,-23.079465992347714
364,-23.092775707244872,fp32,-23.079465992347714
365,-23.76795108421989,fp32,-23.079465992347714
366,-23.459047847323948,fp32,-23.079465992347714
367,-23.679713368415833,fp32,-23.079465992347714
368,-23.10695801610532,fp32,-23.079465992347714
369,-22.492090287415877,fp32,-23.079465992347714
370,-22.875351905822754,fp32,-23.079465992347714
371,-23.844569488005206,fp32,-23.079465992347714
372,-22.693260616726345,fp32,-23.079465992347714
373,-22.964144897460937,fp32,-23.079465992347714
374,-23.40964244913172,fp32,-23.079465992347714
375,-25.32103177479335,fp32,-23.079465992347714
376,-23.25579595565796,fp32,-23.079465992347714
377,-21.392925965158565,fp32,-23.079465992347714
378,-23.636912912130356,fp32,-23.079465992347714
379,-22.440898805856705,fp32,-23.079465992347714
380,-23.69199481763338,fp32,-23.079465992347714
381,-24.002180826096307,fp32,-23.079465992347714
382,-22.149710595607758,fp32,-23.079465992347714
383,-20.71895456314087,fp32,-23.079465992347714
384,-22.91293954849243,fp32,-23.079465992347714
385,-25.385292416527157,fp32,-23.079465992347714
386,-23.282588822501047,fp32,-23.079465992347714
387,-23.623589314912493,fp32,-23.079465992347714
388,-24.117635517120362,fp32,-23.079465992347714
389,-23.394843618075054,fp32,-23.079465992347714
390,-22.08051872253418,fp32,-23.079465992347714
391,-23.080919729338753,fp32,-23.079465992347714
392,-22.106017291545868,fp32,-23.079465992347714
393,-23.663834810256958,fp32,-23.079465992347714
394,-23.72174875359786,fp32,-23.079465992347714
395,-24.57770962715149,fp32,-23.079465992347714
0,-25.423177083333332,fp16,-23.081142777333767
1,-24.875,fp16,-23.081142777333767
2,-22.66482204861111,fp16,-23.081142777333767
3,-22.765625,fp16,-23.081142777333767
4,-23.68017578125,fp16,-23.081142777333767
5,-24.55264136904762,fp16,-23.081142777333767
6,-22.2896484375,fp16,-23.081142777333767
7,-22.87646484375,fp16,-23.081142777333767
8,-23.864583333333332,fp16,-23.081142777333767
9,-23.5615234375,fp16,-23.081142777333767
10,-22.44970703125,fp16,-23.081142777333767
11,-24.719122023809526,fp16,-23.081142777333767
12,-22.367931547619047,fp16,-23.081142777333767
13,-22.059392755681817,fp16,-23.081142777333767
14,-21.549293154761905,fp16,-23.081142777333767
15,-22.1271875,fp16,-23.081142777333767
16,-23.23642113095238,fp16,-23.081142777333767
17,-24.63671875,fp16,-23.081142777333767
18,-23.035481770833332,fp16,-23.081142777333767
19,-23.66796875,fp16,-23.081142777333767
20,-23.350408380681817,fp16,-23.081142777333767
21,-22.54328125,fp16,-23.081142777333767
22,-23.91920230263158,fp16,-23.081142777333767
23,-24.43598090277778,fp16,-23.081142777333767
24,-22.015115489130434,fp16,-23.081142777333767
25,-22.622869318181817,fp16,-23.081142777333767
26,-21.71319110576923,fp16,-23.081142777333767
27,-22.573939732142858,fp16,-23.081142777333767
28,-24.1015625,fp16,-23.081142777333767
29,-24.019325657894736,fp16,-23.081142777333767
30,-20.798990885416668,fp16,-23.081142777333767
31,-23.725883152173914,fp16,-23.081142777333767
32,-23.538707386363637,fp16,-23.081142777333767
33,-23.17310855263158,fp16,-23.081142777333767
34,-23.032169117647058,fp16,-23.081142777333767
35,-23.326976102941178,fp16,-23.081142777333767
36,-22.222265625,fp16,-23.081142777333767
37,-23.85844494047619,fp16,-23.081142777333767
38,-23.18544407894737,fp16,-23.081142777333767
39,-24.197916666666668,fp16,-23.081142777333767
40,-22.980808423913043,fp16,-23.081142777333767
41,-23.5,fp16,-23.081142777333767
42,-25.02109375,fp16,-23.081142777333767
43,-25.330625,fp16,-23.081142777333767
44,-23.194754464285715,fp16,-23.081142777333767
45,-22.663707386363637,fp16,-23.081142777333767
46,-22.877963362068964,fp16,-23.081142777333767
47,-23.01765625,fp16,-23.081142777333767
48,-23.19983552631579,fp16,-23.081142777333767
49,-23.50472861842105,fp16,-23.081142777333767
50,-20.939615885416668,fp16,-23.081142777333767
51,-22.52641369047619,fp16,-23.081142777333767
52,-22.12801846590909,fp16,-23.081142777333767
53,-22.83895596590909,fp16,-23.081142777333767
54,-22.192934782608695,fp16,-23.081142777333767
55,-22.925958806818183,fp16,-23.081142777333767
56,-22.250751201923077,fp16,-23.081142777333767
57,-22.69384765625,fp16,-23.081142777333767
58,-22.584449404761905,fp16,-23.081142777333767
59,-24.263392857142858,fp16,-23.081142777333767
60,-23.293619791666668,fp16,-23.081142777333767
61,-24.6958984375,fp16,-23.081142777333767
62,-23.738839285714285,fp16,-23.081142777333767
63,-23.0640625,fp16,-23.081142777333767
64,-22.858865489130434,fp16,-23.081142777333767
65,-24.85927734375,fp16,-23.081142777333767
66,-22.159071180555557,fp16,-23.081142777333767
67,-23.565378289473685,fp16,-23.081142777333767
68,-21.8115234375,fp16,-23.081142777333767
69,-21.80078125,fp16,-23.081142777333767
70,-21.81949013157895,fp16,-23.081142777333767
71,-22.57998511904762,fp16,-23.081142777333767
72,-23.3359375,fp16,-23.081142777333767
73,-23.71640625,fp16,-23.081142777333767
74,-23.8634765625,fp16,-23.081142777333767
75,-23.760298295454547,fp16,-23.081142777333767
76,-21.94078125,fp16,-23.081142777333767
77,-23.980282738095237,fp16,-23.081142777333767
78,-22.484188988095237,fp16,-23.081142777333767
79,-23.388247282608695,fp16,-23.081142777333767
80,-22.302528782894736,fp16,-23.081142777333767
81,-22.918359375,fp16,-23.081142777333767
82,-23.7142578125,fp16,-23.081142777333767
83,-24.6765625,fp16,-23.081142777333767
84,-21.94345238095238,fp16,-23.081142777333767
85,-23.557756696428573,fp16,-23.081142777333767
86,-22.35241168478261,fp16,-23.081142777333767
87,-22.340983072916668,fp16,-23.081142777333767
88,-22.896908967391305,fp16,-23.081142777333767
89,-22.627511160714285,fp16,-23.081142777333767
90,-22.453464673913043,fp16,-23.081142777333767
91,-22.655691964285715,fp16,-23.081142777333767
92,-21.02294921875,fp16,-23.081142777333767
93,-23.41859375,fp16,-23.081142777333767
94,-24.783854166666668,fp16,-23.081142777333767
95,-25.06234375,fp16,-23.081142777333767
96,-21.20600818452381,fp16,-23.081142777333767
97,-22.924609375,fp16,-23.081142777333767
98,-24.330810546875,fp16,-23.081142777333767
99,-22.1646728515625,fp16,-23.081142777333767
100,-22.25640625,fp16,-23.081142777333767
101,-24.609537760416668,fp16,-23.081142777333767
102,-22.2333984375,fp16,-23.081142777333767
103,-22.854225852272727,fp16,-23.081142777333767
104,-22.66736778846154,fp16,-23.081142777333767
105,-24.02734375,fp16,-23.081142777333767
106,-23.8544921875,fp16,-23.081142777333767
107,-24.829545454545453,fp16,-23.081142777333767
108,-20.608984375,fp16,-23.081142777333767
109,-23.084161931818183,fp16,-23.081142777333767
110,-23.287388392857142,fp16,-23.081142777333767
111,-23.52609375,fp16,-23.081142777333767
112,-23.796223958333332,fp16,-23.081142777333767
113,-24.195126488095237,fp16,-23.081142777333767
114,-23.4603515625,fp16,-23.081142777333767
115,-24.63552517361111,fp16,-23.081142777333767
116,-23.650985054347824,fp16,-23.081142777333767
117,-24.928792317708332,fp16,-23.081142777333767
118,-24.362767269736842,fp16,-23.081142777333767
119,-21.8396484375,fp16,-23.081142777333767
120,-24.014825994318183,fp16,-23.081142777333767
121,-22.957370923913043,fp16,-23.081142777333767
122,-23.044211647727273,fp16,-23.081142777333767
123,-24.077414772727273,fp16,-23.081142777333767
124,-23.96359375,fp16,-23.081142777333767
125,-21.849051339285715,fp16,-23.081142777333767
126,-22.15501644736842,fp16,-23.081142777333767
127,-23.170847039473685,fp16,-23.081142777333767
128,-21.887109375,fp16,-23.081142777333767
129,-24.75967261904762,fp16,-23.081142777333767
130,-21.630349864130434,fp16,-23.081142777333767
131,-23.220145089285715,fp16,-23.081142777333767
132,-24.357935855263158,fp16,-23.081142777333767
133,-23.655970982142858,fp16,-23.081142777333767
134,-23.484654017857142,fp16,-23.081142777333767
135,-23.35009765625,fp16,-23.081142777333767
136,-20.600142045454547,fp16,-23.081142777333767
137,-22.99294704861111,fp16,-23.081142777333767
138,-22.78212890625,fp16,-23.081142777333767
139,-21.369140625,fp16,-23.081142777333767
140,-23.45497532894737,fp16,-23.081142777333767
141,-23.594161184210527,fp16,-23.081142777333767
142,-23.129438920454547,fp16,-23.081142777333767
143,-23.71734375,fp16,-23.081142777333767
144,-23.6390625,fp16,-23.081142777333767
145,-22.846354166666668,fp16,-23.081142777333767
146,-24.5341796875,fp16,-23.081142777333767
147,-25.486683238636363,fp16,-23.081142777333767
148,-22.536875,fp16,-23.081142777333767
149,-21.80603966346154,fp16,-23.081142777333767
150,-23.48740234375,fp16,-23.081142777333767
151,-25.093359375,fp16,-23.081142777333767
152,-24.3658203125,fp16,-23.081142777333767
153,-24.281622023809526,fp16,-23.081142777333767
154,-23.837126358695652,fp16,-23.081142777333767
155,-22.62784090909091,fp16,-23.081142777333767
156,-22.624441964285715,fp16,-23.081142777333767
157,-23.462091619318183,fp16,-23.081142777333767
158,-21.548014322916668,fp16,-23.081142777333767
159,-23.321056547619047,fp16,-23.081142777333767
160,-22.45703125,fp16,-23.081142777333767
161,-23.344777960526315,fp16,-23.081142777333767
162,-22.84136284722222,fp16,-23.081142777333767
163,-23.466681985294116,fp16,-23.081142777333767
164,-21.74379595588235,fp16,-23.081142777333767
165,-21.363839285714285,fp16,-23.081142777333767
166,-21.636008522727273,fp16,-23.081142777333767
167,-22.68203125,fp16,-23.081142777333767
168,-24.279296875,fp16,-23.081142777333767
169,-21.204313858695652,fp16,-23.081142777333767
170,-22.12024456521739,fp16,-23.081142777333767
171,-23.742734375,fp16,-23.081142777333767
172,-21.9484375,fp16,-23.081142777333767
173,-22.9890625,fp16,-23.081142777333767
174,-22.504616477272727,fp16,-23.081142777333767
175,-23.6388671875,fp16,-23.081142777333767
176,-22.6556640625,fp16,-23.081142777333767
177,-22.9548828125,fp16,-23.081142777333767
178,-22.5703125,fp16,-23.081142777333767
179,-23.06689453125,fp16,-23.081142777333767
180,-24.417791193181817,fp16,-23.081142777333767
181,-23.25186820652174,fp16,-23.081142777333767
182,-23.655894886363637,fp16,-23.081142777333767
183,-23.608203125,fp16,-23.081142777333767
184,-21.136186079545453,fp16,-23.081142777333767
185,-22.083718039772727,fp16,-23.081142777333767
186,-23.861922554347824,fp16,-23.081142777333767
187,-25.071732954545453,fp16,-23.081142777333767
188,-24.13387784090909,fp16,-23.081142777333767
189,-21.586077008928573,fp16,-23.081142777333767
